phones,frequency
n ɑ k ə ə ɹ,2
ɹ ɛ k ə ɹ,2
d ɪ s t ɹ ɔɪ z,1
ɹ oʊ b ɑ t s,1
k j ʊ ɹ iː ə s,22
t oʊ n iː z,2
h ɛ l p f ə l,22
p l ɑ ŋ k,3
d æ ʃ,1
l ɑ k,6
s ɪ ɹ iː ə l z,3
t ʌ tʃ d aʊ n,8
p l ʌ ŋ k,9
s p ɔ ɹ t,11
m ʌ f ə n z,25
p iː t ə ɹ z,5
w ɑ f ə l,49
ɛ m p t iː d,11
m ʌ ʃ ɹ uː m,25
m æ θ j uː,75
f l ɪ p t,16
m ɪ ɹ ə k ə l,15
w ɛ s t,20
b ɪ ɡ ɪ n,30
ɪ s k eɪ p t,11
b ɹ ɪ k,14
ʌ n d ə ɹ w ɛ ɹ,52
t oʊ n iː,10
d ɑ ɹ t b ɔ ɹ d,1
uː z ɪ ŋ,12
s ɪ k ə l,1
p æ t ɪ d,4
b ʌ l k,1
b ɪ l ɔ ŋ d,8
f l ɑ p,18
f aɪ ə ɹ p l eɪ s,36
t ɪ p t,4
s æ n t ə s,6
t uː ɪ ʃ ə n z,1
d ɪ l ɪ v ə ɹ d,6
k ə m p l iː t l iː,35
ɹ æ m z iː,3
f aɪ t ɪ ŋ,10
m ɛ ɹ ə l iː,16
dʒ ʌ ɡ ə l ə ɹ z,1
p l æ n ə t ɛ ɹ iː ə m,4
s p iː d ɪ ŋ,6
d ɑ l f ə n z,16
w eɪ l z,3
b l æ s t s,2
k w iː n,84
l iː ʃ,6
b iː k ə ɹ,1
w ʊ d z,45
k ɑ l ə ɹ,12
m ɪ l,13
æ k s ɛ s ə ɹ aɪ z,5
s n oʊ iː,23
p iː t ə ɹ,52
s æ ŋ k,5
p ɔɪ n t ɪ ŋ,39
d ɪ t ɛ k t ɪ v,2
d ɹ æ ɡ d,3
ə n h æ p iː,16
s m æ k ɪ ŋ,3
dʒ ɔɪ n,25
s uː z iː,1
h ɪ ɹ oʊ z,2
d ɪ l eɪ,2
b ɜː n ɪ ŋ,8
h aɪ w eɪ,4
b l eɪ z ɪ z,1
l iː d z,10
eɪ n dʒ ə l z,7
p ɹ iː t ɛ n d ɪ d,15
p æ t s,3
s l ɪ d,14
h iː p ɪ ŋ,1
t ʌ ɡ,23
f aɪ ə ɹ z,4
h æ n d f ʊ l,3
f ɜː m,10
b eɪ s,38
k æ b,14
iː z iː ə s t,4
k æ m p ə ɹ z,1
f l iː ɪ ŋ,1
ɪ ɹ ɪ ŋ z,16
tʃ ɑ p t,7
b ɪ l iː z,4
ɹ oʊ d w eɪ,3
dʒ ʌ s t ə s,1
dʒ eɪ k,4
d ɹ ɛ m t,5
t ɪ k ə l ɪ ʃ,13
f l eɪ m z,9
s k ɜː iː,1
p æ θ w eɪ,3
tʃ ɑ p s,8
p oʊ k s,1
s k ɔ ɹ z,4
m ɛ d oʊ z,3
f iː l d z,7
s k ɔ ɹ d,4
t æ k ə l d,5
k ɔ ɹ d ə ɹ ɔɪ,77
p ɪ tʃ ɪ ŋ,4
tʃ ʌ ŋ k,4
m æ t ɹ ə s,25
s eɪ v z,4
s l ɪ p t,19
p ʊ l d,58
ɹ æ n tʃ,1
p ɪ tʃ ə ɹ,11
ɡ ɹ ɪ p,4
m æ t s,3
l ɪ v d,32
w eɪ t ɪ d,24
k æ tʃ ɜː,6
ʃ ɑ p ə ɹ z,9
tʃ ɑ p ɪ ŋ,6
oʊ v ə ɹ ɔ l z,31
s iː m d,23
s æ t,148
s t eɪ b ə l,27
s ɔ s,128
ʃ ɔ ɹ t s t ɑ p,1
s æ d l iː,11
t iː n eɪ dʒ ə ɹ,11
f l ɪ p ɪ ŋ,6
aʊ t f iː l d,1
h oʊ m z,11
s ɜː tʃ ɪ ŋ,18
w ɪ ð ɪ n,8
ɡ ɪ ɡ ə l d,5
h ɪ d,30
b oʊ s t ə d,6
b ɛ d b ə ɡ z,1
ɹ iː tʃ t,23
k ɹ ɔ l z,4
k ɛ ɹ ə s ɛ l,6
s oʊ f ə z,3
l æ m p s,8
b ɜː n,13
ɡ æ s p t,10
p æ l ə s,29
l oʊ d,28
æ d m aɪ ɹ ɪ ŋ,2
w ɑ n d ə ɹ d,7
k ɑ ŋ k,1
f l ʌ t ə ɹ ɪ ŋ,4
s ʌ d ə n,18
d ɑ t,47
p oʊ l k ɑ,25
k ɹ ɔ l d,12
w ɛ ɹ w ʊ l f,1
p ɹ ɪ n s ə p ə l,3
j æ ŋ k t,2
t ɑ p ə l d,6
k l æ k ɪ ŋ,1
k l ɪ k ɪ ŋ,5
p ʌ f ɪ ŋ,3
tʃ iː f,20
n ɛ s t s,13
ɹ aʊ n d z,5
w ɑ tʃ m ə n,2
t ʌ m iː,100
d æ ʃ ɪ ŋ,1
k ɹ eɪ d ə l,7
f l æ ʃ t,2
s m æ ʃ t,9
t ʌ k t,14
f aɪ ə ɹ f aɪ t ə ɹ z,7
l aɪ,1
l ʌ n d ə n,9
tʃ æ m p iː ə n,8
ɪ k s ɛ p t,100
k ʌ s t ə m ə ɹ z,14
w eɪ k ɪ ŋ,16
s t ɹ aɪ k s,5
f ʌ n iː ə s t,15
s eɪ l b oʊ t s,1
l iː s ə,67
k aʊ n t ɪ d,21
f ɛ ɹ,1
ə p ɪ ɹ d,34
s eɪ l z,1
ɹ ɛ s k j uː d,14
d ʌ m p t iː,7
h ʌ m p t iː,8
ə p ɑ ɹ t m ə n t,8
f æ m ə l iː z,2
f l aɪ t s,4
b iː v ə ɹ,52
b l ɪ ŋ k t,5
d ɹ ɛ s ə ɹ,1
s aɪ z d,14
s k ɹ æ tʃ t,8
h ɪ tʃ t,2
h ɛ l m ə t,28
t ʌ ɡ d,3
s n iː z d,14
f æ s ə n d,2
ɪ m,3
t oʊ ɪ ŋ,3
s m aɪ l d,28
h ɑ p s,4
k ɜː l z,4
k ə l ɛ k t ɪ ŋ,7
s t æ n,2
f aɪ ə ɹ f l aɪ z,3
ɹ ɪ v ə ɹ,78
s iː m,1
k ɹ æ ŋ k iː,96
d ɹ iː m ɪ ŋ,20
w ɪ ʃ iː,2
p ɛ k ɪ ŋ,4
t ɹ ɪ ʃ,3
s ɔ l t iː,87
b ɹ ɪ dʒ ə z,7
h ɑ ɹ ə l d,1
ʌ ɡ l iː ə s t,3
k oʊ k oʊ,9
l ɜː n ɪ ŋ,24
ɹ ʌ s t iː,18
d ɹ aɪ ə ɹ,1
f l oʊ z,1
h ɑ ɹ v iː z,6
ɹ iː k oʊ,5
p w ɛ ɹ t oʊ,5
ɪ n v ɑ l v d,4
d ɪ s,1
t ɛ n d ə ɹ,22
ɡ ɑ tʃ ə ɹ,2
p oʊ ɡ oʊ,2
k l æ s ɹ uː m,16
h ɑ ɹ v iː,33
t ʌ ɡ b oʊ t,16
b ʌ dʒ,6
ɡ ɑ n d ə l ə,6
t eɪ m ə ɹ,2
m ɛ m b ə ɹ z,4
t ɑ m k æ t,8
ʃ ɜː t s,49
m aɪ k ɹ oʊ f oʊ n z,18
ɹ ɛ k ɪ ŋ,1
b æ ɹ oʊ,3
s eɪ l ɪ ŋ,8
p ə ɹ h æ p s,36
p iː n ə t,62
oʊ n d,2
s ɪ tʃ uː eɪ ʃ ə n,19
p ɔ ɹ k j ə p aɪ n,21
s t ɹ iː m,12
t uː θ,99
t uː t ɪ d,2
p ɑ p iː,15
w ɪ m ə n,25
w ɔ ɹ n ɪ ŋ,6
b ɛ d t aɪ m,49
ɡ eɪ,2
ɡ aɪ d ɪ ŋ,1
s t ɹ iː m z,3
v ɪ l ə dʒ ə z,2
n eɪ k ə d,80
p oʊ k ɪ ŋ,10
b ʊ tʃ,24
s ɪ t iː z,2
w aɪ d ə ɹ,8
d iː p ə ɹ,6
s p ɑ t iː,6
k ɹ eɪ n z,4
t æ f iː,3
l ɪ f t ɪ ŋ,6
p ɑ p iː z,12
s ɪ t iː,88
ɹ ʌ ʃ ɪ ŋ,7
m oʊ n d,7
w ɔ v z,1
d ɑ k s,12
ə t æ tʃ,45
m oʊ n,2
l oʊ d ɪ d,7
k ʌ p ə l z,1
b ʌ f ə ɹ z,6
b ɜː s t s,1
n ɑ k s,7
aɪ l ə n d,75
ɡ æ b iː,59
t æ t,10
b oʊ l ɪ ŋ,17
h uː p,9
l oʊ ə ɹ ɪ ŋ,2
b ɑ t ə l z,25
b æ n b ɛ ɹ iː,4
b eɪ k ə ɹ z,1
ʃ ɔ ɹ t ə ɹ,13
t ɛ d,45
k ɑ l iː,1
b æ ŋ d,6
s k ɹ ɔ n iː,1
t ɑ n iː,1
s m ɑ k,6
k ɹ æ ŋ k,2
tʃ eɪ s t,16
ɡ l ɪ s ə n,3
ɡ l ɪ m ə ɹ,1
æ s t ɹ ə n ɔ t s,5
k ɹ uː,9
b l æ s t ɪ ŋ,2
ʃ ɛ d,27
aʊ t ə ɹ,21
t ɛ ɹ ə n s,1
m ɪ ʃ ə n,7
m iː l z,11
f l uː t,15
f l oʊ t,27
ɡ ɹ æ v ə t iː,5
p ɹ ɪ d ɪ k t,5
f æ ʃ ə n d,11
dʒ ɑ ɹ z,7
s p ɪ n ə tʃ,16
s æ t ə l aɪ t,8
p ɹ ɪ d ɪ k t ɪ d,2
ɔ ɹ b ə t,3
s t æ b,3
ɹ ɪ m ɛ m b ə ɹ d,20
tʃ ɛ k ɪ ŋ,24
oʊ ʃ ə n z,10
t iː p ɑ t,28
s t aʊ t,7
s p ɹ ɛ d,29
s t iː m d,9
s k iː d,1
m aʊ n t ə n z,36
s k eɪ t ɪ d,1
s iː w iː d,27
s w ɑ m p,7
k ɹ iː tʃ ə ɹ,18
b æ k w ə ɹ d,7
l iː n z,3
ɹ eɪ s ə z,2
t ɜː n t eɪ b ə l,4
θ ʌ m p t,1
θ ɹ æ ʃ t,1
ɡ ɑ l iː,13
h æ m b ə ɹ ɡ ə ɹ z,5
t ɹ ɪ s ɪ k ə l,14
k l ɪ k t,1
tʃ iː f s,1
j ɛ l oʊ ɪ ʃ,2
w ɪ l j ə m,1470
dʒ ɛ f ə ɹ iː,1
eɪ p,4
ɹ uː t,7
tʃ ɪ t iː,10
æ n ə,8
m ɪ k s ə ɹ z,2
d ɪ l ɪ v ə ɹ,8
l ɔ ɡ,20
ɹ uː m z,2
ɡ l ɑ b,2
ɹ ɛ t,6
s k w iː l,9
ɹ eɪ n iː,18
tʃ ɪ ɹ iː,3
dʒ ɜː b ɪ l,13
v eɪ n,1
t w ɪ ɡ z,6
p ɹ ɑ b l ə m z,21
h ʌ n t ɪ ŋ,15
l ɪ t ə l ə s t,14
aɪ v iː,3
ʌ n d ə ɹ p æ n t s,45
m æ ʃ ə ə ɹ,4
m æ ʃ,15
s k ɑ ɹ,68
s ɛ ɹ ə z,5
s m ɪ ɹ,5
t ɛ d z,3
t ɹ ɛ d,1
w ɪ ʃ t,10
l oʊ d ɪ ŋ,7
s w uː p t,4
s aɪ l ə n t,9
s k ɹ ɪ b ə l,17
d æ n s t,17
s p ɹ aʊ t s,6
s k ɹ uː d ɹ aɪ v ə ɹ z,6
ɹ aɪ s,206
ɔ t oʊ,5
b eɪ s m ə n t,34
j oʊ k,1
s p ɛ ɹ,8
j uː s f ə l,21
l iː k ɪ ŋ,10
d ɪ d l iː,2
h ɛ d l aɪ t s,3
t eɪ l z,32
f ɛ ɹ iː,14
ɹ aɪ m z,38
n ɜː s ə ɹ iː,10
k ɑ m ɪ k,2
s m ɪ ɹ ɪ ŋ,2
θ ɪ n,31
s k aɪ z,1
b ʊ ʃ ə z,25
s k w iː k s,7
s l eɪ,1
h æ m p ə ɹ,4
w eɪ s t,8
l eɪ d iː z,12
b ɑ ʃ ə,8
d ɛ l,6
d ɛ ɹ iː,2
d ɪ z aɪ n z,6
m eɪ t iː,4
s p l æ t,3
k æ t ə l,3
ɹ aɪ m,28
d ɹ ɛ s ɪ ŋ,9
d ɪ p ə ɹ,3
s n aɪ p ə ɹ,1
b l ʌ ŋ k,4
s k w ɑ ʃ ɪ ŋ,7
w aɪ p s,14
æ k ɹ ə b æ t ɪ k s,1
f ɑ k s ə z,14
s iː s ɔ,24
w eɪ d ɪ ŋ,1
j uː s ə z,45
p ɑ ɹ t iː z,2
ɑ p ə z ə t,48
ʌ p w ə ɹ d,8
b ɛ n d z,1
d ʌ m p ə ɹ,11
h ɔ ɹ n z,25
h ɔ ŋ k s,2
f ɹ aʊ n ɪ ŋ,2
h æ p ə n ɪ ŋ,93
h ʊ k s,4
t ɹ ʌ b ə l s ə m,23
k ɹ æ ʃ ɪ ŋ,15
s p aɪ k iː,4
b ʌ ŋ,2
s p aɪ n iː,4
s æ k s ə f oʊ n,2
ɹ ɛ k ə dʒ,3
d æ n d iː,5
d ɪ k iː,3
k ɹ æ m p t,1
d iː t,4
ɹ ɛ k t,2
f ɑ ɡ iː,7
t ɹ æ p,10
t ɹ æ p t,3
ə d v æ n s,16
v iː h ɪ k ə l,7
ɪ m ɜː dʒ ə n s iː,11
æ ŋ,1
æ ŋ ɡ ə l,6
æ v ə n uː,7
eɪ p s,3
ə p ɑ ɹ t m ə n t s,5
m ɪ s iː,15
ɛ ɹ ɪ z oʊ n ə,8
t ɹ eɪ l ə ɹ z,1
æ l ə s ə z,5
d ʌ ɡ,3
s t ɑ p ɪ ŋ,7
k l ɪ f ə ɹ d z,13
d ʌ m p t ɹ ʌ k s,3
æ n t iː t ə ɹ,6
t aɪ d iː,3
ɹ æ f t,4
ə d v æ n s t,6
ə s eɪ,2
d ʌ m p s,4
p aʊ ə ɹ,24
k ɹ ʌ ʃ ə ɹ,5
f l eɪ v ə ɹ,46
t ɹ ɪ p t,14
ɹ ɔɪ ə l,14
ð eɪ d,17
w ɪ z ə ɹ d,16
t ɹ æ v ɪ s,6
p l iː d ɪ d,7
w ɜː k ə ɹ z,2
p ɑ k ə t s,54
b ʌ s t ə ɹ,16
h æ p ə l iː,20
k l æ ɹ ə b ə l,5
æ n iː,5
k oʊ tʃ ɪ z,15
f uː l ɪ ʃ,7
t ɹ æ v ə l d,8
p æ s ə z,4
tʃ ʌ ɡ d,5
h ʌ f t,1
p ɹ aʊ d l iː,8
b ɔɪ l ə ɹ,5
ɹ ʌ m b ə l d,5
θ ʌ n d ə ɹ,22
p ə ɹ p ɛ tʃ ə w eɪ t ɪ ŋ,1
k l ʌ ŋ k,10
k ɛ ɹ ə l aɪ n,9
ɪ l ə s t ɹ eɪ t ə ɹ,2
z uː m ɪ ŋ,3
t ɑ m ə s ɪ z,1
p ə l aɪ t,5
b ɜː s t ɪ ŋ,4
d ɪ s aɪ d ɪ d,53
b ʌ n d ə l z,1
p æ s ɪ ŋ,3
b ɜː t iː,7
b iː p t,3
f ɹ ɛ n d l iː,16
p ə ɹ t ɪ k j ə l ə ɹ,9
iː z ə l,9
s k uː t ɪ d,2
s ɑ ɡ iː,107
b l aɪ n d,9
h ɛ d eɪ k,12
s w iː t ə s t,4
b æ l iː,3
b l ɪ ŋ k ɪ ŋ,9
l ɛ s ə n,15
ə p ɪ ɹ,8
ə n l oʊ d,4
s t iː p,8
p iː s f ə l,8
k ɑ z d,4
l ɛ s,34
s m oʊ k iː,1
b æ n d z,10
ʃ eɪ n,4
n uː ə s t,3
θ ʌ m p ə ɹ,15
s t ɹ ɔ ŋ ə ɹ,10
t ɛ ɹ,26
j oʊ,20
ɹ ə f j uː z d,3
t w ɜː l,12
aɪ l æ ʃ ɪ z,7
h ʊ k ɪ ŋ,5
l ɜː tʃ,9
l ʌ ɡ,6
iː z ə l iː,22
ə n z ɪ p,13
d ɪ n dʒ iː,2
f l oʊ ɪ ŋ,3
ʃ æ f t,10
tʃ ɑ k,19
d æ n d ə l aɪ ə n z,8
k ɹ iː k s,2
t ʌ k ə ɹ,2
t ʌ ɡ ɪ ŋ,7
m aɪ n z,8
θ w æ k,5
s t ɹ oʊ k t,1
tʃ iː k s,33
ɹ ʌ s t iː z,4
s t æ k,15
æ v ə l æ n tʃ,1
æ l b ə ɹ t s,3
æ d ə d,13
k ɹ æ b z,28
h ɛ ɹ ə l d,136
l ʌ ɡ ɪ ŋ,4
d ɹ æ ɡ ɪ ŋ,4
ɹ iː p l eɪ s,10
t ɜː n ə p s,1
w ɜː k t,28
d aɪ v ə ɹ z,1
l ʌ m p k ɪ n z,1
s k aʊ t s,1
t oʊ b iː z,3
s ɔ d,1
b ɔ ɹ d z,3
w ɔ t ə ɹ k ʌ l ə ɹ z,1
h ɛ ɹ ə l d z,10
p ɑ t ɪ z,16
m oʊ,4
m ʌ l t iː k ʌ l ə ɹ d,7
v w ɑ l ɑ,11
ʃ ɛ ɹ ə f s,2
ɔ f ɪ s ə ɹ z,1
t w ɪ ŋ k ə l ɪ ŋ,1
m ɪ n iː,55
m ʌ n tʃ ɪ ŋ,11
l ɛ t ɪ ŋ,14
p ʌ m p ɪ ŋ,7
t ɹ æ p s,9
dʒ ʌ m b oʊ,1
t ɹ ɑ l iː,6
s ʌ b w eɪ,7
ʌ n d ə ɹ ɡ ɹ aʊ n d,7
b ʌ m p ɪ ŋ,16
k eɪ b ə l,2
ʃ ɹ ɪ ŋ k ɪ ŋ,3
d ɪ f l eɪ t ɪ ŋ,2
l ɛ s l iː,8
ɹ ɛ,3
k l oʊ z ɪ z,11
dʒ ɑ ʃ uː ə,4
h ʌ f ɪ ŋ,1
eɪ dʒ ə z,1
ɡ ɔ ɹ d ə n z,6
ɡ uː ɡ l ɪ,6
m uː n l aɪ t,9
p ɑ n t uː n z,6
j ɑ h uː,4
ʃ ɹ ʌ ŋ k,9
ʃ ɔ ɹ t k ʌ t,5
ɔ t,14
s ɪ ɡ n ə l z,2
k ʌ p ə l d,2
ə n k ʌ p ə l,1
t ɹ ɪ k t,2
ɡ ɑ ɹ d,19
f ɹ aɪ t ə n ɪ ŋ,5
ʃ m ʌ k,1
ɹ eɪ l w eɪ,2
k w ɛ s tʃ ə n z,18
b æ k t,5
z uː m z,1
ʃ ʊ k,20
ɹ iː ə l aɪ z d,28
ə t æ tʃ t,46
w ɔ ɹ m ə ɹ,14
ð ɛ m s ɛ l v z,29
k ɹ æ k ə l,2
l oʊ b oʊ,2
dʒ eɪ m z ɪ z,2
d ɛ m ə n s t ɹ eɪ ʃ ə n,2
d ɛ m ə n s t ɹ eɪ t ɪ ŋ,3
m ɪ s tʃ ə v ə s,16
p ɹ ə t ɛ k t,20
p oʊ k iː,17
h oʊ k iː,15
eɪ,10
d ɑ ɹ k ə ɹ,9
k ɛ ɹ z,3
ə ʃ ɔ ɹ,5
b oʊ b oʊ,2
w ʌ n d ə ɹ ɪ ŋ,28
j aʊ,1
s l oʊ ə ɹ,2
s æ n d iː,13
p ɪ k n ɪ k s,7
p ɪ k n ɪ k,51
p s,1
s l ɛ d ɪ ŋ,6
h eɪ t ə d,2
p aʊ t ɪ ŋ,1
p aʊ t,6
d ɪ z ɜː v ɪ ŋ,2
ɛ v ɹ iː w ʌ n z,23
f ɑ ɹ ð ə ɹ,13
b æ ɹ ə l,32
h oʊ p t,8
k l aɪ m ə ɹ z,2
n ɪ b ə l,39
d ɹ ɔ ɹ z,15
b ʊ k ʃ ɛ l f,2
s k w ɑ ʃ t,4
l ʌ k ə l iː,11
w ɪ t s,2
s m æ ʃ ɪ z,3
ɡ ɹ æ b d,15
ɹ ʌ b ə l,2
w ɔ t ə ɹ k ʌ l ə ɹ,1
tʃ ɪ ɹ f ə l iː,1
k ə l æ p s t,6
h ʌ f,5
s l ɪ p ə ɹ iː,41
ɑ l ə v ə ɹ,4
eɪ l iː ə n,13
tʃ uː z ɪ ŋ,6
k ɑ p iː z,7
n eɪ v iː,16
s p ɛ ʃ ə l iː,4
dʒ uː n,25
p ə l iː s m ə n,17
s p ɪ l ɪ ŋ,15
p ɔɪ n t ɪ d,27
θ æ ŋ k t,8
w ɪ ʃ ɪ ŋ,5
m aɪ t s,1
k ɜː tʃ ə f,5
d æ ŋ ɡ ə l ɪ ŋ,7
b ʌ s t,11
m ʌ ʃ iː,25
f ɑ ɡ,32
s t ɑ m p s,2
ɹ ɑ m p s,2
s t ɹ aɪ p ɪ,11
h ʊ ɹ ɑ,4
k ʌ p l ɪ ŋ,2
p æ tʃ,23
d ɪ ŋ ɡ oʊ,4
h ɛ l p t,49
ɜː dʒ ə n t,17
ɪ n d iː d,16
ɡ ʌ s t ə s,1
ə n l oʊ d ɪ ŋ,2
k ɹ iː k t,1
h ʌ m f,3
h oʊ l d ə ɹ,7
p oʊ n iː t eɪ l,6
p l æ n ɪ ŋ,15
s æ t ə s f aɪ d,2
s p l ɪ t,5
l ɪ k ə t iː,2
s p ɛ k ə l d,2
h ɪ k,6
t æ p ɪ ŋ,3
ɹ æ p ə,1
p iː p t,2
ɡ ɑ t ə n,25
b ɜː t ɹ ə m,1
s t ɛ p n iː,2
t ʌ m b ə l ɪ ŋ,5
h ɪ l iː,1
h ɜː iː d,12
s eɪ v ɪ ŋ,5
s l oʊ ɪ ŋ,1
f l ʌ ʃ,20
k l æ k t,1
h ʌ ʃ ɪ ŋ,2
w ɔ t ə ɹ f ɔ l,13
w ɪ ŋ,16
w ɑ b ə l,4
p ɔ ɹ tʃ ə ɡ iː z,4
f ɹ aʊ n,3
s k w iː z d,12
ɹ aʊ n d ə d,2
f l ʌ ʃ t,1
m aʊ ð z,11
s aɪ,8
b ʌ m p ə ɹ,9
ɹ iː l iː s t,2
w eɪ l d,4
θ ʌ m p ɪ ŋ,8
w ɪ l iː,18
k ʌ n t ɹ iː s aɪ d,3
s l æ m ɪ ŋ,3
t ə n aɪ t s,2
ɹ eɪ n dʒ ə ɹ,3
w ɪ s ə l d,4
d æ n s ə z,8
h oʊ l ə,13
ɡ ɹ oʊ n ɪ ŋ,1
ɹ uː ʒ,1
m eɪ n,12
b ə n ʒ ʊ ɹ,6
l æ ŋ ɡ w ə dʒ ə z,2
ɛ n dʒ ə n ɪ ɹ z,4
ʌ n b ɛ n d,1
k ʌ n t ɹ iː z,8
p ɪ k ɪ t,1
p ɑ p ə l t ɑ n,12
m ɛ ʒ ə ɹ d,2
m ʌ n θ s,57
ɡ ɹ eɪ n z,3
ɡ ɹ æ b ɪ ŋ,5
l eɪ k,15
eɪ dʒ,29
tʃ ɔ k s,1
h æ s t ə,9
h oʊ k,1
w iː k ɛ n d,80
h ɛ v ə n,11
ɪ n d iː ə,9
w ɪ s l ɪ ŋ,9
b l ɑ k t,2
ɡ ʊ d b aɪ z,2
k ʌ k uː,32
s ɛ l f,22
ɪ t ə l iː,4
z æ m b oʊ n iː,1
ɹ æ p t,20
ɡ l aɪ d,5
b l ɑ k ɪ ŋ,3
t ɹ ɪ k s,9
aɪ s ɪ k ə l z,19
s k ɹ æ m b ə l d,21
oʊ m ə,2
ʃ aʊ t ɪ d,52
b ɑ ɹ dʒ,2
eɪ l iː ə n z,11
aɪ s ɪ k ə l,7
k ɑ p iː ɪ ŋ,6
p ɔɪ n t iː,24
h æ ŋ z,7
d oʊ m z,1
s iː m z,57
h æ tʃ t,5
f ʌ n ə l,3
p ɔ t h oʊ l,1
f l ʌ d,9
m ɪ z ə ɹ ə b ə l,6
ɡ ɹ ʌ b,5
oʊ v ə ɹ f l oʊ ɪ ŋ,2
ə l aɪ k,7
d æ m ə dʒ,3
aɪ b ɔ l z,2
t ɹ ʌ n d ə l d,1
æ ŋ k ʃ ə s l iː,4
p ɑ n t uː n,1
v ɪ l ə dʒ,16
dʒ ɜː n iː,20
b ɪ n iː θ,21
d eɪ n dʒ ə ɹ ə s l iː,1
s ɜː dʒ d,1
ɹ ɪ v ə ɹ z,6
w aɪ f,15
h ʌ z b ə n d,16
n oʊ ə,5
ʃ uː t ɪ ŋ,4
n oʊ ə z,2
ɪ n s p ɛ k t ɪ ŋ,1
w aɪ f s,1
s p ʌ n,5
d æ m z,2
p ɹ ɑ p,4
t ɜː b oʊ,8
w ɔ ɹ n,14
t ɛ n t,34
ʃ ʌ n t ɪ d,3
k ə l æ p s ɪ ŋ,1
d eɪ n dʒ ə ɹ,15
ɹ ɪ z ə n,1
t ɔ k iː z,3
w ɔ k iː,14
ʃ uː p,3
l ɜː tʃ ɪ ŋ,1
f l eɪ v ə ɹ z,4
s t ɹ ʌ k,5
h æ f w eɪ,6
p ɛ p ə ɹ m ɪ n t,3
m iː t s,6
k ə n t eɪ n ə ɹ z,2
ʃ ʌ d ə ɹ,1
h ɛ l p l ə s l iː,1
f l oʊ t ə d,5
z ɪ l j ə n,1
s ʌ m ə ɹ s ɔ l t,11
b ɪ w ɛ ɹ,4
d uː m d,2
l uː p s,3
ɡ ɪ ɡ ə l ɪ ŋ,6
d ɔ ɡ h aʊ s,1
m oʊ t ə ɹ z,1
ʃ iː t s,20
h oʊ s t ɪ d,1
v ɪ l ɪ dʒ ə ɹ z,11
m ɛ n d ɪ d,1
k ɹ oʊ b ɑ ɹ,1
k ʌ v ə ɹ ɪ ŋ,10
f l eɪ v ə ɹ d,5
v aɪ b ɹ eɪ t ɪ ŋ,5
ʃ ɛ d z,6
ɛ ɹ p l eɪ n z,8
h æ ŋ ə ɹ z,4
p ə s t æ ʃ iː oʊ,4
t oʊ t ə l iː,37
k ə m p l eɪ n,3
ɛ m eɪ tʃ,4
aɪ d iː ə z,16
h æ ŋ ə ɹ,2
l ʌ v d,56
l æ f t,42
l ʌ l ə b aɪ,10
ɪ k s p ɹ ɛ s,8
æ f t ə ɹ w ə ɹ d z,19
k ɜː v d,22
s t eɪ ʃ ə n z,4
aɪ d ə l ɪ ŋ,1
k ə k uː n z,1
p eɪ d ɹ oʊ,1
s t ɹ ɛ tʃ ɪ ŋ,2
p ɹ ɑ p ə ɹ,4
d ɹ uː p iː,3
s p iː d,10
k ə b uː s ɪ z,2
k ɛ ɹ ə l aɪ n z,3
k l ɔ ɡ d,1
ə p ɹ oʊ tʃ t,11
ɪ m p ɹ ɛ s t,23
b l æ ŋ k,9
p æ n ə ɹ æ m ɪ k,2
æ ŋ ɡ ɹ ə l iː,4
p iː ɪ ŋ,9
t ɜː t ə l n ɛ k,5
ɹ ɑ k t,26
f iː b ə l,1
k ə m p l iː t,7
s t ɹ aɪ p,7
s ɛ v ɹ ə l,16
z ɪ p s,1
ɪ n s p ɛ k t ɪ d,1
n oʊ ɪ ŋ,8
n ɛ k s,4
s ɜː v z,8
b oʊ s t ɪ ŋ,1
ɹ ɪ t ɜː n d,27
f aɪ n ə s t,5
ə f ɪ ʃ ə l,2
n iː ð ə ɹ,13
ə p l aɪ,2
dʒ æ m d,4
s ɜː tʃ t,9
k ɪ ŋ d ə m,22
θ ɹ uː aʊ t,7
ɹ ə d uː s t,1
θ ɹ oʊ n z,1
s l iː p oʊ v ə ɹ,14
ə tʃ iː v,1
s n ɔ ɹ,12
tʃ ɪ ɹ d,16
k l æ p t,5
f ɹ aɪ d,9
ɪ n v ɪ z ə b ə l,5
m oʊ s t l iː,23
l ɛ ɡ ə d,8
f l æ ʃ l aɪ t,14
t uː n,9
k ɪ k s,3
k l ɪ p t,12
p iː s f ə l iː,3
dʒ ɔɪ,13
ɹ ʌ m b ə l ɪ ŋ,3
dʒ ɪ ɡ,1
t ɹ uː l iː,6
l æ b,8
m ɛ ɹ ə ɡ oʊ l d,5
k ʌ b iː h oʊ l,8
l ʌ n tʃ t aɪ m,9
s ə ɹ p ɹ aɪ z ɪ z,5
ɡ ɹ oʊ n ʌ p,10
ə t æ tʃ ɪ ŋ,3
t iː k iː,4
s t ɛ f ə n iː,15
d ɛ ɹ ɪ k,2
m ʌ dʒ,2
t ʊ ʃ,8
s ɪ z ə l,21
k ɹ æ k s,8
s iː ɪ ŋ,26
h aɪ d ɹ ə n t,15
ɹ uː t s,12
k ɪ s ə ɹ,6
f j uː ə l,6
ʃ ɛ ɹ z,3
l ɑ m ə,35
